department,day,time_from,time_to,subject,type,instructor,location,section
CS,السبت,09:00,10:00,نظم دعم اتخاذ القرار,محاضرة,أ.م.د/ابراهيم العوضى عبد الحميد,مدرج C321,عام
CS,السبت,11:00,12:00,الرؤية بالحاسب,سكشن,م/سارة رؤوف,معمل حاسب C122,5
CS,السبت,13:00,14:00,الرؤية بالحاسب,سكشن,م/سارة رؤوف,معمل حاسب C122,4
CS,السبت,13:00,14:00,تطوير البرمجيات,سكشن,م/احمد عبدالرحمن,معمل C210,5
CS,السبت,15:00,16:00,الرؤية بالحاسب,سكشن,م/سارة رؤوف,معمل حاسب C122,1
CS,السبت,15:00,16:00,اللغات الصورية ونظرية الاليات,سكشن,م/احمد هشام,معمل حاسب C126,4
CS,الاحد,09:00,10:00,اللغات الصورية ونظرية الاليات,محاضرة,د/أمل عبدالعظيم محمد,مدرج C221,عام
CS,الاحد,09:00,10:00,نظم المعلومات الجغرافية,محاضرة,د/سها عبدالمؤمن محمد,اونلاين,عام
CS,الاحد,10:00,11:00,استراتيجية وادارة واكتساب,محاضرة,د/سها عبدالمؤمن محمد,اونلاين,عام
CS,الاحد,11:00,12:00,تطوير البرمجيات,سكشن,م/نهاد عبدالرحيم,معمل C125,2
CS,الاحد,11:00,12:00,الذكاء الاصطناعي,سكشن,م/سلمى اسامة,معمل C306,3
CS,الاحد,11:00,12:00,تصميم وتحليل الخوارزميات,سكشن,م/عبدالله عبدالباسط,معمل حاسب C106,4
CS,الاحد,12:00,13:00,تطوير البرمجيات,سكشن,م/احمد عبدالرحمن,معمل C210,1
CS,الاحد,13:00,14:00,الذكاء الاصطناعي,سكشن,م/سلمى اسامة,معمل C306,4
CS,الاحد,15:00,16:00,تصميم وتحليل الخوارزميات,محاضرة,د/ماجد احمد جاد الرب,قاعة درس C030,عام
CS,الاثنين,09:00,10:00,تصميم وتحليل الخوارزميات,سكشن,م/عبدالله عبدالباسط,معمل C106,1
CS,الاثنين,09:00,10:00,الذكاء الاصطناعي,سكشن,م/سلمى اسامة,معمل C306,2
CS,الاثنين,09:00,10:00,تطوير البرمجيات,سكشن,م/نهاد عبدالرحيم,معمل C205,3
CS,الاثنين,09:00,10:00,معالجة الصور,سكشن,م/مصطفى اسامة,معمل حاسب C305,5
CS,الاثنين,09:00,10:00,استراتيجية وادارة واكتساب نظم المعلومات,سكشن,م/غادة سمير,معمل C207,6
CS,الاثنين,11:00,12:00,معالجة الصور,سكشن,م/مصطفى اسامة,معمل حاسب C305,1
CS,الاثنين,11:00,12:00,تصميم وتحليل الخوارزميات,سكشن,م/عبدالله عبدالباسط,معمل C106,2
CS,الاثنين,11:00,12:00,تطوير البرمجيات,سكشن,م/جهاد زكريا,معمل C109,4
CS,الاثنين,11:00,12:00,نظم دعم واتخاذ القرار,سكشن,م/منال محمود,معمل C210,6
CS,الاثنين,12:00,13:00,تطوير البرمجيات,سكشن,م/نهاد عبدالرحيم,معمل C205,5
CS,الاثنين,13:00,14:00,الذكاء الاصطناعي,سكشن,م/سلمى اسامة,معمل C306,1
CS,الاثنين,13:00,14:00,معالجة الصور,سكشن,م/مصطفى اسامة,معمل حاسب C305,2
CS,الاثنين,13:00,14:00,تصميم وتحليل الخوارزميات,سكشن,م/عبدالله عبدالباسط,معمل C106,3
CS,الاثنين,15:00,16:00,معالجة الصور,سكشن,م/مصطفى اسامة,معمل حاسب C305,3
CS,الاثنين,15:00,16:00,تصميم وتحليل الخوارزميات,سكشن,م/عبدالله عبدالباسط,معمل C106,4
CS,الاثنين,15:00,16:00,الذكاء الاصطناعي,سكشن,م/سلمى اسامة,معمل C306,5
CS,الاثنين,18:00,19:00,نظم التشغيل,محاضرة,أ.د خالد فتحي حسين,اونلاين,عام
CS,الثلاثاء,09:00,10:00,الذكاء الاصطناعي,محاضرة,د/أمل عبد العظيم محمد,مدرج C315,عام
CS,الثلاثاء,09:00,10:00,نظم المعلومات الجغرافية,سكشن,م/محمود قطب,معمل C109,5
CS,الثلاثاء,11:00,12:00,الرؤية بالحاسب,محاضرة,أ.د خالد فتحي حسين,مدرج C221,عام
CS,الثلاثاء,11:00,12:00,البرمجة العنكبوتية,محاضرة,د/طارق محمد عبد القادر,قاعة درس C118,عام
CS,الثلاثاء,13:00,14:00,نظرية الاليات,سكشن,م/محمود عصام,معمل حاسب C206,5
CS,الثلاثاء,13:00,14:00,نظم التشغيل,محاضرة,أ.د خالد فتحي حسين,مدرج C221,عام
CS,الثلاثاء,15:00,16:00,تطوير البرمجيات والممارسة المهنية,محاضرة,د/رشا محمود كامل,مدرج C321,عام
CS,الأربعاء,09:00,10:00,اللغات الصورية ونظرية الاليات,سكشن,م/احمد هشام,معمل حاسب C205,1
CS,الأربعاء,11:00,12:00,معالجة الصور,محاضرة,د/رشا محمود كامل,قاعة درس C118,عام
CS,الأربعاء,11:00,12:00,البرمجة العنكبوتية,سكشن,م/اسعد نصرالله,معمل حاسب C122,6
CS,الأربعاء,13:00,14:00,اللغات الصورية ونظرية الاليات,سكشن,م/احمد هشام,معمل حاسب C205,2
CS,الأربعاء,13:00,14:00,الرؤية بالحاسب,سكشن,م/سارة رؤوف,معمل حاسب C122,3
CS,الأربعاء,13:00,14:00,معالجة الصور,سكشن,م/مصطفى اسامة,معمل حاسب C305,4
CS,الأربعاء,13:00,14:00,نظم تشغيل,سكشن,م/رضوى صالح,معمل حاسب C206,6
CS,الأربعاء,15:00,16:00,الرؤية بالحاسب,سكشن,م/سارة رؤوف,معمل حاسب C122,2
CS,الأربعاء,15:00,16:00,اللغات الصورية ونظرية الاليات,سكشن,م/احمد هشام,معمل حاسب C205,3
CS,الخميس,09:00,10:00,الذكاء الاصطناعي,محاضرة,د/أمل عبد العظيم محمد,اونلاين,عام
CS,الخميس,10:00,11:00,تصميم وتحليل الخوارزميات,محاضرة,د/ماجد احمد جاد الرب,اونلاين,عام
CS,الخميس,11:00,12:00,اللغات الصورية ونظرية الاليات,محاضرة,د/أمل عبدالعظيم محمد,اونلاين,عام
CS,الخميس,11:00,12:00,استراتيجية وادارة واكتساب,محاضرة,د/سها عبدالمؤمن محمد,قاعة درس C030,عام
CS,الخميس,13:00,14:00,تطوير البرمجيات والممارسة المهنية,محاضرة,د/رشا محمود كامل,اونلاين,عام
CS,الخميس,14:00,15:00,معالجة الصور,محاضرة,د/رشا محمود كامل,اونلاين,عام
CS,الخميس,19:00,20:00,الرؤية بالحاسب,محاضرة,أ.د خالد فتحي حسين,اونلاين,عام
CS,الخميس,19:00,20:00,نظم دعم اتخاذ القرار,محاضرة,أ.م.د/ابراهيم العوضى عبد الحميد,اونلاين,عام
IS,السبت,09:00,10:00,نظم دعم اتخاذ القرار,محاضرة,أ.م.د/ابراهيم العوضى عبد الحميد,مدرج C321,عام
IS,الاثنين,09:00,10:00,نظم دعم واتخاذ القرار,سكشن,م/منال محمود,معمل C210,1
IS,الاثنين,09:00,10:00,تطوير البرمجيات,سكشن,م/جهاد زكريا,معمل C109,1
IS,الاثنين,11:00,12:00,نظم ذكية,محاضرة,د/سارة صلاح محمد,مدرج C215,عام
IS,الاثنين,13:00,14:00,نظم دعم واتخاذ القرار,سكشن,م/منال محمود,معمل C210,4
IS,الثلاثاء,09:00,10:00,تطوير البرمجيات والممارسة المهنية,محاضرة,د/رشا محمود كامل,مدرج C321,عام
IS,الثلاثاء,11:00,12:00,البرمجة العنكبوتية,محاضرة,د/طارق محمد عبد القادر,قاعة درس C118,عام
IS,الثلاثاء,13:00,14:00,نظم التشغيل,محاضرة,أ.د خالد فتحي حسين,مدرج C221,عام
IS,الأربعاء,09:00,10:00,معالجة الصور,سكشن,م/مصطفى اسامة,معمل حاسب C305,1
IS,الأربعاء,09:00,10:00,تطوير البرمجيات,سكشن,م/جهاد زكريا,معمل C109,2
IS,الأربعاء,09:00,10:00,نظم تشغيل,سكشن,م/رضوى صالح,معمل حاسب C206,3
IS,الأربعاء,09:00,10:00,البرمجة العنكبوتية,سكشن,م/اسعد نصرالله,معمل حاسب C122,4
IS,الأربعاء,11:00,12:00,نظم تشغيل,سكشن,م/احمد هشام,معمل حاسب C205,1
IS,الأربعاء,11:00,12:00,معالجة الصور,سكشن,م/مصطفى اسامة,معمل حاسب C305,2
IS,الأربعاء,11:00,12:00,تطوير البرمجيات,سكشن,م/جهاد زكريا,معمل C109,3
IS,الأربعاء,11:00,12:00,نظم تشغيل,سكشن,م/رضوى صالح,معمل حاسب C206,4
IS,الأربعاء,13:00,14:00,معالجة الصور,محاضرة,د/رشا محمود كامل,قاعة درس C030,عام
IS,الأربعاء,15:00,16:00,معالجة الصور,سكشن,م/مصطفى اسامة,معمل حاسب C305,3
IS,الخميس,09:00,10:00,البرمجة العنكبوتية,سكشن,م/اسعد نصرالله,معمل حاسب C122,1
IS,الخميس,09:00,10:00,نظم دعم واتخاذ القرار,سكشن,م/منال محمود,معمل C126,2
IS,الخميس,09:00,10:00,نظم ذكية,سكشن,م/الزهراء يوسف,معمل حاسب C125,3
IS,الخميس,11:00,12:00,البرمجة العنكبوتية,سكشن,م/اسعد نصرالله,معمل حاسب C122,2
IS,الخميس,11:00,12:00,نظم دعم واتخاذ القرار,سكشن,م/منال محمود,معمل C126,3
IS,الخميس,11:00,12:00,نظم ذكية,سكشن,م/الزهراء يوسف,معمل حاسب C125,4
IS,الخميس,11:00,12:00,معالجة الصور,سكشن,م/محمد عبدالحميد,معمل حاسب C305,5
IS,الخميس,13:00,14:00,معالجة الصور,سكشن,م/محمد عبدالحميد,معمل حاسب C305,2
IS,الخميس,13:00,14:00,البرمجة العنكبوتية,سكشن,م/اسعد نصرالله,معمل حاسب C122,3
IS,الخميس,13:00,14:00,نظم دعم واتخاذ القرار,سكشن,م/منال محمود,معمل C126,4
IS,الخميس,13:00,14:00,نظم ذكية,سكشن,م/الزهراء يوسف,معمل حاسب C125,5
IS,الخميس,15:00,16:00,نظم ذكية,سكشن,م/الزهراء يوسف,معمل حاسب C125,1
IS,الخميس,15:00,16:00,البرمجة العنكبوتية,سكشن,م/اسعد نصرالله,معمل حاسب C122,4
IS,الخميس,18:00,19:00,البرمجة العنكبوتية,محاضرة,د/طارق محمد عبد القادر,اونلاين,عام
IS,الخميس,19:00,20:00,نظم دعم اتخاذ القرار,محاضرة,أ.م.د/ابراهيم العوضى عبد الحميد,اونلاين,عام
AI,السبت,09:00,10:00,نظم دعم اتخاذ القرار,محاضرة,أ.م.د/ابراهيم العوضى عبد الحميد,مدرج C321,عام
AI,السبت,11:00,12:00,نظم ذكية,سكشن,م/الزهراء يوسف,معمل حاسب C125,1
AI,السبت,11:00,12:00,نظم تشغيل,سكشن,م/احمد هشام,معمل حاسب C126,2
AI,السبت,13:00,14:00,نظم تشغيل,سكشن,م/احمد هشام,معمل حاسب C126,1
AI,الاحد,09:00,10:00,نظم دعم واتخاذ القرار,سكشن,م/منال محمود,معمل C210,1
AI,الاحد,09:00,10:00,تطوير البرمجيات,سكشن,م/جهاد زكريا,معمل C109,1
AI,الاثنين,09:00,10:00,نظم دعم واتخاذ القرار,سكشن,م/منال محمود,معمل C210,2
AI,الاثنين,09:00,10:00,تطوير البرمجيات,سكشن,م/جهاد زكريا,معمل C109,2
AI,الاثنين,11:00,12:00,نظم ذكية,محاضرة,د/سارة صلاح محمد,مدرج C215,عام
AI,الاثنين,13:00,14:00,نظم دعم واتخاذ القرار,سكشن,م/منال محمود,معمل C210,3
AI,الثلاثاء,09:00,10:00,تطوير البرمجيات والممارسة المهنية,محاضرة,د/رشا محمود كامل,مدرج C321,عام
AI,الثلاثاء,11:00,12:00,البرمجة العنكبوتية,محاضرة,د/طارق محمد عبد القادر,قاعة درس C118,عام
AI,الثلاثاء,13:00,14:00,نظم التشغيل,محاضرة,أ.د خالد فتحي حسين,مدرج C221,عام
AI,الأربعاء,09:00,10:00,معالجة الصور,سكشن,م/مصطفى اسامة,معمل حاسب C305,1
AI,الأربعاء,09:00,10:00,تطوير البرمجيات,سكشن,م/جهاد زكريا,معمل C109,3
AI,الأربعاء,09:00,10:00,نظم تشغيل,سكشن,م/رضوى صالح,معمل حاسب C206,4
AI,الأربعاء,09:00,10:00,البرمجة العنكبوتية,سكشن,م/اسعد نصرالله,معمل حاسب C122,5
AI,الأربعاء,11:00,12:00,نظم تشغيل,سكشن,م/احمد هشام,معمل حاسب C205,2
AI,الأربعاء,11:00,12:00,معالجة الصور,سكشن,م/مصطفى اسامة,معمل حاسب C305,3
AI,الأربعاء,11:00,12:00,تطوير البرمجيات,سكشن,م/جهاد زكريا,معمل C109,4
AI,الأربعاء,11:00,12:00,نظم تشغيل,سكشن,م/رضوى صالح,معمل حاسب C206,5
AI,الأربعاء,13:00,14:00,معالجة الصور,محاضرة,د/رشا محمود كامل,قاعة درس C030,عام
AI,الأربعاء,15:00,16:00,معالجة الصور,سكشن,م/مصطفى اسامة,معمل حاسب C305,4
AI,الخميس,09:00,10:00,البرمجة العنكبوتية,سكشن,م/اسعد نصرالله,معمل حاسب C122,1
AI,الخميس,09:00,10:00,نظم دعم واتخاذ القرار,سكشن,م/منال محمود,معمل C126,2
AI,الخميس,09:00,10:00,نظم ذكية,سكشن,م/الزهراء يوسف,معمل حاسب C125,3
AI,الخميس,11:00,12:00,البرمجة العنكبوتية,سكشن,م/اسعد نصرالله,معمل حاسب C122,2
AI,الخميس,11:00,12:00,نظم دعم واتخاذ القرار,سكشن,م/منال محمود,معمل C126,3
AI,الخميس,11:00,12:00,نظم ذكية,سكشن,م/الزهراء يوسف,معمل حاسب C125,4
AI,الخميس,11:00,12:00,معالجة الصور,سكشن,م/محمد عبدالحميد,معمل حاسب C305,5
AI,الخميس,13:00,14:00,معالجة الصور,سكشن,م/محمد عبدالحميد,معمل حاسب C305,2
AI,الخميس,13:00,14:00,البرمجة العنكبوتية,سكشن,م/اسعد نصرالله,معمل حاسب C122,3
AI,الخميس,13:00,14:00,نظم دعم واتخاذ القرار,سكشن,م/منال محمود,معمل C126,4
AI,الخميس,13:00,14:00,نظم ذكية,سكشن,م/الزهراء يوسف,معمل حاسب C125,5
AI,الخميس,15:00,16:00,نظم ذكية,سكشن,م/الزهراء يوسف,معمل حاسب C125,1
AI,الخميس,15:00,16:00,البرمجة العنكبوتية,سكشن,م/اسعد نصرالله,معمل حاسب C122,4
AI,الخميس,18:00,19:00,البرمجة العنكبوتية,محاضرة,د/طارق محمد عبد القادر,اونلاين,عام
AI,الخميس,19:00,20:00,نظم دعم اتخاذ القرار,محاضرة,أ.م.د/ابراهيم العوضى عبد الحميد,اونلاين,عام
SE,السبت,09:00,10:00,بناء البرمجيات,محاضرة,أ.م.د/ممدوح فاروق محمد,قاعة درس C113,عام
SE,السبت,11:00,12:00,تصميم ومعماريات البرمجيات,محاضرة,أ.م.د/ابراهيم العوضى عبد الحميد,مدرج C321,عام
SE,السبت,09:00,10:00,اللغات الصورية ونظرية الاليات,سكشن,م/احمد هشام,معمل حاسب C126,8
SE,السبت,10:00,11:00,تطوير البرمجيات,سكشن,م/احمد عبدالرحمن,معمل C210,7
SE,السبت,11:00,12:00,تصميم البرمجيات,سكشن,م/مريم ملاك,معمل حاسب C106,8
SE,السبت,13:00,14:00,تصميم البرمجيات,سكشن,م/مريم ملاك,معمل حاسب C106,1
SE,السبت,13:00,14:00,تطوير البرمجيات,سكشن,م/احمد عبدالرحمن,معمل C210,3
SE,السبت,13:00,14:00,تصميم ومعماريات البرمجيات,محاضرة,أ.م.د/ابراهيم العوضى عبد الحميد,مدرج C321,4
SE,السبت,15:00,16:00,بناء البرمجيات,محاضرة,أ.م.د/ممدوح فاروق محمد,قاعة درس C113,5
SE,الاحد,09:00,10:00,تطوير البرمجيات,سكشن,م/احمد عبدالرحمن,معمل C210,6
SE,الاحد,11:00,12:00,اللغات الصورية ونظرية الاليات,محاضرة,د/أمل عبدالعظيم محمد,مدرج C221,عام
SE,الاحد,13:00,14:00,تحليل متطلبات البرمجيات,محاضرة,د/سارة صلاح محمد,مدرج C215,عام
SE,الاحد,13:00,14:00,اللغات الصورية ونظرية الاليات,محاضرة,د/أمل عبدالعظيم محمد,مدرج C221,5
SE,الاحد,15:00,16:00,تحليل متطلبات البرمجيات,محاضرة,د/سارة صلاح محمد,مدرج C215,3
SE,الاحد,15:00,16:00,اللغات الصورية ونظرية الاليات,محاضرة,د/أمل عبدالعظيم محمد,مدرج C221,2
SE,الاثنين,09:00,10:00,بناء البرمجيات,سكشن,م/محمد طه,معمل حاسب C125,1
SE,الاثنين,09:00,10:00,نظرية الاليات,سكشن,م/محمود عصام,معمل حاسب C206,2
SE,الاثنين,09:00,10:00,الذكاء الاصطناعي,سكشن,م/اسماعيل اكرم,معمل حاسب C307,4
SE,الاثنين,09:00,10:00,تحليل متطلبات البرمجيات,سكشن,م/محمد الفولي,معمل C208,6
SE,الاثنين,11:00,12:00,الذكاء الاصطناعي,سكشن,م/اسماعيل اكرم,معمل حاسب C307,1
SE,الاثنين,11:00,12:00,بناء البرمجيات,سكشن,م/محمد طه,معمل حاسب C125,2
SE,الاثنين,11:00,12:00,نظرية الاليات,سكشن,م/محمود عصام,معمل حاسب C206,3
SE,الاثنين,11:00,12:00,تحليل متطلبات البرمجيات,سكشن,م/محمد الفولي,معمل C208,5
SE,الاثنين,13:00,14:00,الذكاء الاصطناعي,محاضرة,د/سارة صلاح محمد,مدرج C215,عام
SE,الاثنين,13:00,14:00,نظرية الاليات,سكشن,م/محمود عصام,معمل حاسب C206,5
SE,الاثنين,13:00,14:00,تحليل متطلبات البرمجيات,سكشن,م/محمد الفولي,معمل C208,4
SE,الاثنين,13:00,14:00,الذكاء الاصطناعي,سكشن,م/اسماعيل اكرم,معمل حاسب C307,6
SE,الاثنين,13:00,14:00,بناء البرمجيات,سكشن,م/محمد طه,معمل حاسب C125,7
SE,الاثنين,15:00,16:00,نظرية الاليات,سكشن,م/محمود عصام,معمل حاسب C206,1
SE,الاثنين,15:00,16:00,الذكاء الاصطناعي,سكشن,م/اسماعيل اكرم,معمل حاسب C307,2
SE,الاثنين,15:00,16:00,بناء البرمجيات,سكشن,م/محمد طه,معمل حاسب C125,3
SE,الاثنين,15:00,16:00,تحليل متطلبات البرمجيات,سكشن,م/محمد الفولي,معمل C208,8
SE,الاثنين,15:00,16:00,الذكاء الاصطناعي,محاضرة,د/سارة صلاح محمد,مدرج C215,7
SE,الثلاثاء,09:00,10:00,نظرية الاليات,سكشن,م/محمود عصام,معمل حاسب C206,4
SE,الثلاثاء,11:00,12:00,تطوير البرمجيات والممارسة المهنية,محاضرة,د/رشا محمود كامل,مدرج C321,عام
SE,الثلاثاء,11:00,12:00,نظرية الاليات,سكشن,م/محمود عصام,معمل حاسب C206,7
SE,الثلاثاء,13:00,14:00,تطوير البرمجيات,سكشن,م/احمد عبدالرحمن,معمل C210,2
SE,الثلاثاء,13:00,14:00,تطوير البرمجيات والممارسة المهنية,محاضرة,د/رشا محمود كامل,مدرج C321,1
SE,الثلاثاء,15:00,16:00,تطوير البرمجيات والممارسة المهنية,محاضرة,د/رشا محمود كامل,مدرج C321,3
SE,الثلاثاء,15:00,16:00,نظرية الاليات,سكشن,م/محمود عصام,معمل حاسب C206,8
SE,الأربعاء,09:00,10:00,تطوير البرمجيات,سكشن,م/نهاد عبدالرحيم,معمل C105,1
SE,الأربعاء,09:00,10:00,تطوير البرمجيات,سكشن,م/احمد عبدالرحمن,معمل C210,2
SE,الأربعاء,09:00,10:00,تصميم البرمجيات,سكشن,م/الحسن محمد,معمل حاسب C106,3
SE,الأربعاء,09:00,10:00,بناء البرمجيات,سكشن,م/محمد طه,معمل حاسب C125,4
SE,الأربعاء,09:00,10:00,تحليل متطلبات البرمجيات,سكشن,م/منال محمود,معمل C208,5
SE,الأربعاء,09:00,10:00,تصميم البرمجيات,سكشن,م/مريم ملاك,معمل حاسب C306,6
SE,الأربعاء,09:00,10:00,الذكاء الاصطناعي,سكشن,م/اسماعيل اكرم,معمل حاسب C126,8
SE,الأربعاء,11:00,12:00,تحليل متطلبات البرمجيات,سكشن,م/منال محمود,معمل C208,3
SE,الأربعاء,11:00,12:00,تصميم البرمجيات,سكشن,م/الحسن محمد,معمل حاسب C106,4
SE,الأربعاء,11:00,12:00,بناء البرمجيات,سكشن,م/محمد طه,معمل حاسب C125,5
SE,الأربعاء,11:00,12:00,الذكاء الاصطناعي,سكشن,م/اسماعيل اكرم,معمل حاسب C126,6
SE,الأربعاء,11:00,12:00,تصميم البرمجيات,سكشن,م/مريم ملاك,معمل حاسب C306,7
SE,الأربعاء,12:00,13:00,تطوير البرمجيات,سكشن,م/احمد عبدالرحمن,معمل C210,8
SE,الأربعاء,13:00,14:00,تحليل متطلبات البرمجيات,سكشن,م/منال محمود,معمل C208,1
SE,الأربعاء,13:00,14:00,تصميم البرمجيات,سكشن,م/مريم ملاك,معمل حاسب C306,2
SE,الأربعاء,13:00,14:00,الذكاء الاصطناعي,سكشن,م/اسماعيل اكرم,معمل حاسب C126,4
SE,الأربعاء,13:00,14:00,بناء البرمجيات,سكشن,م/محمد طه,معمل حاسب C125,6
SE,الأربعاء,13:00,14:00,تطوير البرمجيات,سكشن,م/جهاد زكريا,معمل C109,8
SE,الأربعاء,15:00,16:00,تحليل متطلبات البرمجيات,سكشن,م/منال محمود,معمل C208,1
SE,الأربعاء,15:00,16:00,تصميم البرمجيات,سكشن,م/مريم ملاك,معمل حاسب C306,2
SE,الأربعاء,15:00,16:00,الذكاء الاصطناعي,سكشن,م/اسماعيل اكرم,معمل حاسب C126,3
SE,الأربعاء,15:00,16:00,بناء البرمجيات,سكشن,م/محمد طه,معمل حاسب C125,7
SE,الخميس,09:00,10:00,تصميم ومعماريات البرمجيات,محاضرة,أ.م.د/ابراهيم العوضى عبد الحميد,اونلاين,عام
SE,الخميس,10:00,11:00,بناء البرمجيات,محاضرة,أ.م.د/ممدوح فاروق محمد,اونلاين,1
SE,الخميس,10:00,11:00,تصميم ومعماريات البرمجيات,محاضرة,أ.م.د/ابراهيم العوضى عبد الحميد,اونلاين,2
SE,الخميس,11:00,12:00,تحليل متطلبات البرمجيات,محاضرة,د/سارة صلاح محمد,اونلاين,عام
SE,الخميس,12:00,13:00,تحليل متطلبات البرمجيات,محاضرة,د/سارة صلاح محمد,اونلاين,4
SE,الخميس,13:00,14:00,الذكاء الاصطناعي,محاضرة,د/سارة صلاح محمد,اونلاين,عام
SE,الخميس,14:00,15:00,الذكاء الاصطناعي,محاضرة,د/سارة صلاح محمد,اونلاين,5
SE,الخميس,15:00,16:00,تطوير البرمجيات والممارسة المهنية,محاضرة,د/رشا محمود كامل,اونلاين,عام
SE,الخميس,16:00,17:00,تطوير البرمجيات والممارسة المهنية,محاضرة,د/رشا محمود كامل,اونلاين,4